"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42247","Date Picker 2","chromium","2026-08-14","failed","2026-08-14","","DataPicker.spec.ts","",""
"","11158","Date Picker","chromium","2026-08-14","passed","2026-08-14","","DataPicker.spec.ts","",""
